school_name,school_type,lat,long
"School of Science and Technology, Singapore",School,1.3131224,103.7735335
Sembawang Primary School,School,1.4452668,103.820915
Sembawang Secondary School,School,1.4456635,103.8166689
Seng Kang Primary School,School,1.3893857,103.8993476
Seng Kang Secondary School,School,1.3864764,103.8986895
Sengkang Green Primary School,School,1.3928693,103.8748408
Serangoon Garden Secondary School,School,1.3699864,103.8690045
Serangoon Secondary School,School,1.37496,103.9020308
Shelton College International,School,1.2743865,103.8203048
Shuqun Primary School,School,1.3471927,103.7214036
Si Ling Primary School,School,1.4327562,103.7857619
Singapore American School,School,1.425308,103.7745946
Singapore Aviation Academy,School,1.388729,103.9905173
Singapore Bible College,College/JC,1.3258394,103.8130926
Singapore Centre for Chinese Language,School,1.3117413,103.7858924
Singapore Chinese Girls' School,School,1.3211036,103.8275857
Singapore Examinations and Assessment Board,School,1.3249258,103.8707054
Singapore Hokkien Huay Kuan,School,1.3155731,103.9383951
Singapore Institute of Management Global Education (SIM GE),College/JC,1.3292588,103.7769043
Singapore Institute of Technology,University,1.4123469,103.9112108
Singapore Institute of Technology (Dover),University,1.3002187,103.7798635
Singapore Institute of Technology @ RP (SIT@RP),University,1.4441646,103.7836027
Singapore Korean International School,School,1.3459601,103.7906618
Singapore Management University,University,1.296195,103.8503709
Singapore Management University Campus,University,1.296195,103.8503709
Singapore Polytechnic,University,1.3090311,103.7775625
Singapore Polytechnic (Poly Marina),University,1.2938735,103.7630442
Singapore Power Training Institute,School,1.3421391,103.8690631
Singapore Safety Driving Centre,School,1.4520078,103.7939873
Singapore Sports School,School,1.4273272,103.7889583
Singapore University of Social Sciences,University,1.3292957,103.7762503
Singapore University of Technology and Design Campus,University,1.3417423,103.9638342
Sir Manasseh Meyer International School,School,1.4367623,103.8240804
South View Primary School,School,1.3816688,103.7467937
SparkleTots Pre-school,School,1.3500698,103.875052
Sparkletots,School,1.3125267,103.9074865
Spectra Secondary School,School,1.4365025,103.8043442
Springdale Primary School,School,1.394985,103.8897774
Springfield Secondary School,School,1.3502689,103.9299711
St Andrew's Autism School,School,1.3109721,103.9300046
St Andrew's Junior College,College/JC,1.3321887,103.8635384
St Anthony's Canossian Primary School,School,1.334904,103.9408705
St Anthony's Canossian Secondary School,School,1.3349316,103.9423296
St Gabriel's Primary School,School,1.3495798,103.8622137
St Margaret's Secondary School,School,1.3200145,103.8097168
St. Andrew's Junior School,School,1.331429,103.8650956
St. Andrew's Mission School,School,1.3428265,103.7599541
St. Andrew's Secondary School,School,1.3311085,103.8661223
St. Andrew's Village,School,1.3301653,103.8654322
St. Francis Xavier Major Seminary,School,1.4145318,103.9050394
St. Gabriel's Secondary School,School,1.3467395,103.8755519
St. Hilda's Primary School,School,1.3493512,103.9368867
St. Hilda's Secondary School,School,1.3500751,103.9369971
St. James Kindergarten,School,1.3045586,103.8122327
St. Joseph's Institution,School,1.3241245,103.8283375
St. Margaret's Primary School,School,1.3039365,103.8461363
St. Stephen's School,School,1.3186196,103.9179713
Staccato Music School,School,1.3075331,103.9070331
Stalford Learning Centre,School,1.2863194,103.8279814
Stamford American International School,School,1.3372834,103.8687859
Stamford Primary School,School,1.3038402,103.8572932
Star Learners Childcare Centre,School,1.4394901,103.8245984
Sunny Cove LLP Dive School,School,1.3155564,103.8815789
Swiss Cottage Secondary School,School,1.3645731,103.7504182
Swiss School in Singapore,School,1.342852,103.7908622
Tampines Meridian Junior College,College/JC,1.376216,103.9378284
Tampines North Primary School,School,1.3607047,103.9490653
Tampines Primary School,School,1.3503059,103.9440135
Tampines Secondary School,School,1.3494777,103.9441765
Tanglin School,School,1.2902753,103.8197284
Tanglin Trust School,School,1.2972943,103.7925044
Tanjong Katong Girls' School,School,1.3079543,103.8964251
Tanjong Katong Primary School,School,1.305332,103.9004578
Tanjong Katong Secondary School,School,1.3083742,103.8973467
Tao Nan School,School,1.3050887,103.9110889
Technical University of Munich (Asia),University,1.3078539,103.7776795
Teck Ghee Primary School,School,1.3651816,103.8511161
Teck Whye Primary School,School,1.3838196,103.7536823
Telok Kurau Primary School,School,1.3308902,103.9113191
Temasek Polytechnic,College/JC,1.3449751,103.9317027
Temasek Primary School,School,1.3174631,103.9457619
Temasek Secondary School,School,1.3162003,103.9474864
The Dive Company,School,1.3035327,103.8593653
The Japanese Primary School,School,1.354152,103.9656279
The Japanese School,School,1.3004516,103.7693649
The Japanese Secondary School,School,1.3116958,103.7561374
The Perse School,School,1.3689773,103.7708588
The School of Positive Psychology,School,1.2937773,103.849965
The Winstedt School,School,1.3165168,103.8739014
Thit Sar Parami,School,1.3131754,103.7597575
Townsville Primary School,School,1.3602434,103.8542379
Tree Art,School,1.4169341,103.9020743
Trinity Theological College,College/JC,1.3616018,103.7688071
United World College of South East Asia (Dover),College/JC,1.3022463,103.7771501
United World College of South East Asia (East),College/JC,1.3585366,103.931795
Unity Primary School,School,1.4028622,103.7467998
Unity Secondary School,School,1.3999235,103.7460378
University Town,University,1.3059749,103.7738276
University of Glasgow,College/JC,1.3076892,103.7780353
University of the Arts Singapore,University,1.298732,103.8534274
Unknown School,School,1.3386291,103.8379257
